,community,state,full_address,latitude,longitude,county,region,maturity_of_relationship,type_of_work,community_networking,listening,latino_leadership,local_mobilizing,regional_mobilizing,project_development,visioning,x4c_focus,n,label
1,Warm Springs,OR,Warm Springs OR,44.7634519,-121.2661625,jefferson,Crook/Jefferson,Level One: Developing,Mobilzing (Regional), , , , ,X, , ,Connections,1,1) Warm Springs
2,Madras,OR,Madras OR,44.6334544,-121.1294872,jefferson,Crook/Jefferson,Level One: Developing,Mobilizing (Regional), , , , ,X, , ,Connections,2,2) Madras
3,Prineville,OR,Prineville OR,44.2998485,-120.8344664,crook,Crook/Jefferson,Level One: Developing,Mobilizing (Regional), , , , ,X, , ,Connections,3,3) Prineville
4,McKenzie Bridge,OR,McKenzie Bridge OR,44.1751238,-122.1639473,lane,McKenzie River,Level One: Developing,Mobilzing (Regional), , , , ,X, , ,Connections and Capacity,4,4) McKenzie Bridge
5,Blue River,OR,Blue River OR,44.153936,-122.3387108,lane,McKenzie River,Level One: Developing,Mobilzing (Regional), , , , ,X, , ,Connections and Capacity,5,5) Blue River
6,Vida,OR,Vida OR,44.1470308,-122.5733529,lane,McKenzie River,Level One: Developing,Mobilzing (Regional), , , , ,X, , ,Connections and Capacity,6,6) Vida
7,Irrigon,OR,Irrigon OR,45.8956885,-119.4914118,morrow, ,Level One: Developing,Latino Leadership, , ,X, , , , ,Capacity,7,7) Irrigon
8,Hermiston,OR,Hermiston OR,45.8404101,-119.2894604,umatilla, ,Level One: Developing,Latino Leadership, , , ,X, , , ,Capacity,8,8) Hermiston
9,Boardman,OR,Boardman OR,45.839855,-119.7005834,morrow, ,Level One: Developing,Latino Leadership, , ,X, , , , ,Capacity,9,9) Boardman
10,Scappoose,OR,Scappoose OR,45.7544422,-122.8777897,columbia, ,Level One: Developing,Latino Leadership, , ,X, , , , ,Capacity,10,10) Scappoose
11,The Dalles,OR,The Dalles OR,45.5945645,-121.1786823,wasco, ,Level One: Developing, , , , , , , , , ,11,11) The Dalles
12,Enterprise,OR,Enterprise OR,45.4262617,-117.2787816,wallowa, ,Level One: Developing,Mobilizing (Local), , , ,X, , , ,CL Action,12,12) Enterprise
13,Heppner,OR,Heppner OR,45.3531842,-119.5577997,morrow, ,Level One: Developing,Mobilizing (Local), , , ,X, , , ,CL Action,13,13) Heppner
14,Estacada,OR,Estacada OR,45.2944367,-122.3338032,clackamas, ,Level One: Developing,Mobilizing (Local),X, , ,X, , , ,Connections,14,14) Estacada
